sig_algo,conf_algo,payload_size_bytes,num_processes,process_idx,verify_mean_ns,verify_std_ns,verify_ci95_lo_ns,verify_ci95_hi_ns,sign_mean_ns,sign_std_ns,sign_ci95_lo_ns,sign_ci95_hi_ns,encrypt_mean_ns,encrypt_std_ns,encrypt_ci95_lo_ns,encrypt_ci95_hi_ns,decrypt_mean_ns,decrypt_std_ns,decrypt_ci95_lo_ns,decrypt_ci95_hi_ns,msg_size_bytes,throughput_mean_msg_s,throughput_std_msg_s,throughput_ci95_lo_msg_s,throughput_ci95_hi_msg_s
RSA,AES-GCM,16,1,-1,0.00,0.00,0.00,0.00,1287011.17,53987.68,1267691.92,1306330.41,4167.47,5108.79,2339.31,5995.62,0.00,0.00,0.00,0.00,300,775.90,32.69,764.20,787.60
RSA,AES-GCM,16,2,-1,41413.77,6114.81,39225.61,43601.92,2559770.13,62718.81,2537326.50,2582213.77,6693.63,7317.94,4074.94,9312.33,1376.80,2143.30,609.83,2143.77,556,383.53,10.50,379.78,387.29
RSA,AES-GCM,16,3,-1,84672.93,9638.41,81223.87,88121.99,3930239.03,122994.86,3886225.89,3974252.18,10891.73,11520.73,6769.09,15014.37,2061.93,1733.16,1441.73,2682.14,812,248.55,8.47,245.52,251.58
RSA,AES-GCM,16,4,-1,124261.60,8653.94,121164.83,127358.37,5220295.57,172516.63,5158561.28,5282029.85,6651.17,5798.16,4576.32,8726.01,2351.13,1267.12,1897.70,2804.57,1068,186.99,5.97,184.85,189.12
RSA,AES-GCM,16,5,-1,165896.67,13162.74,161186.44,170606.89,6451220.57,143214.03,6399972.08,6502469.05,11178.90,12374.23,6750.84,15606.96,3644.23,4137.60,2163.61,5124.86,1324,150.87,3.60,149.58,152.16
RSA,AES-GCM,16,6,-1,224825.57,17348.70,218617.42,231033.72,8042854.60,268727.37,7946691.75,8139017.45,24165.57,21286.10,16548.43,31782.70,7794.43,4541.75,6169.19,9419.68,1580,120.62,4.08,119.16,122.08
RSA,AES-GCM,16,7,-1,296268.87,16045.46,290527.07,302010.66,10010799.07,120039.40,9967843.52,10053754.62,25989.57,14335.01,20859.85,31119.29,10911.63,11203.00,6902.69,14920.57,1836,96.69,1.32,96.22,97.17
RSA,AES-GCM,16,8,-1,338183.20,49700.50,320398.10,355968.30,10879783.03,690603.55,10632653.73,11126912.34,20258.53,13620.99,15384.32,25132.74,9913.70,8018.72,7044.24,12783.16,2092,89.29,6.09,87.11,91.47
RSA,AES-GCM,32,1,-1,0.00,0.00,0.00,0.00,1294036.90,53029.33,1275060.60,1313013.20,1371.53,2264.41,561.23,2181.84,0.00,0.00,0.00,0.00,316,773.10,27.91,763.12,783.09
RSA,AES-GCM,32,2,-1,46090.90,12757.60,41525.65,50656.15,2708957.57,161898.89,2651022.79,2766892.34,7915.43,10188.30,4269.60,11561.27,3091.87,6878.24,630.52,5553.21,572,362.99,22.43,354.96,371.01
RSA,AES-GCM,32,3,-1,88881.37,10540.47,85109.51,92653.22,4136138.97,195016.38,4066353.25,4205924.68,11654.23,12770.43,7084.39,16224.07,3160.13,3227.10,2005.33,4314.93,828,236.42,11.39,232.34,240.49
RSA,AES-GCM,32,4,-1,136806.83,11181.54,132805.57,140808.10,5432607.03,101363.08,5396334.72,5468879.35,12263.03,8615.61,9179.98,15346.09,3899.97,3559.01,2626.39,5173.54,1084,179.11,3.75,177.77,180.45
RSA,AES-GCM,32,5,-1,182882.97,10462.14,179139.14,186626.80,6782982.10,77612.36,6755208.87,6810755.33,13695.97,6402.08,11405.01,15986.92,4649.90,2192.36,3865.37,5434.43,1340,143.20,1.80,142.56,143.85
RSA,AES-GCM,32,6,-1,228053.97,16666.04,222090.10,234017.83,8118064.60,281654.35,8017275.88,8218853.32,18026.93,10278.34,14348.88,21704.99,7874.40,8875.80,4698.24,11050.56,1596,119.59,4.24,118.07,121.10
RSA,AES-GCM,32,7,-1,338705.50,79558.91,310235.71,367175.29,11837839.77,2544966.39,10927135.24,12748544.29,25140.10,24638.51,16323.32,33956.88,9053.40,7218.05,6470.45,11636.35,1852,85.47,17.08,79.36,91.58
RSA,AES-GCM,32,8,-1,517452.00,23640.53,508992.35,525911.65,17144845.23,180472.93,17080263.83,17209426.64,72103.73,97804.68,37104.78,107102.69,17153.53,9363.94,13802.69,20504.38,2108,56.34,0.73,56.08,56.60
RSA,AES-GCM,64,1,-1,0.00,0.00,0.00,0.00,2118126.90,58448.79,2097211.27,2139042.53,4131.00,6331.67,1865.24,6396.76,0.00,0.00,0.00,0.00,348,471.57,13.23,466.83,476.30
RSA,AES-GCM,64,2,-1,65372.83,5876.71,63269.88,67475.79,4171278.67,46064.85,4154794.57,4187762.76,3960.63,2019.58,3237.94,4683.33,1049.97,678.57,807.14,1292.79,604,235.79,2.74,234.81,236.77
RSA,AES-GCM,64,3,-1,136269.03,10851.90,132385.73,140152.34,6355678.20,128471.35,6309705.32,6401651.08,12347.47,9319.99,9012.35,15682.58,3156.00,2280.68,2339.87,3972.13,860,153.74,3.31,152.55,154.93
RSA,AES-GCM,64,4,-1,174459.33,43390.50,158932.24,189986.43,6968148.50,1674641.46,6368885.75,7567411.25,23377.37,29563.18,12798.32,33956.42,6453.40,6367.97,4174.65,8732.15,1116,148.20,37.84,134.65,161.74
RSA,AES-GCM,64,5,-1,189193.33,20397.14,181894.31,196492.36,6872041.07,196582.92,6801694.77,6942387.36,17045.23,12079.78,12722.54,21367.93,5881.07,4505.04,4268.96,7493.17,1372,141.29,4.33,139.74,142.84
RSA,AES-GCM,64,6,-1,242641.50,16406.28,236770.59,248512.41,8547024.30,160483.62,8489595.98,8604452.62,22340.67,13420.20,17538.31,27143.02,8218.43,5592.18,6217.30,10219.57,1628,113.42,2.31,112.60,114.25
RSA,AES-GCM,64,7,-1,287985.20,21381.45,280333.95,295636.45,9842009.60,151549.55,9787778.29,9896240.91,19266.67,15286.34,13796.52,24736.81,7380.50,4030.48,5938.21,8822.79,1884,98.49,1.72,97.87,99.10
RSA,AES-GCM,64,8,-1,337152.00,55907.15,317145.88,357158.12,10640561.20,647592.49,10408823.20,10872299.20,39018.23,22794.24,30861.42,47175.05,17523.97,14772.52,12237.69,22810.25,2140,90.96,5.46,89.00,92.91
