sig_algo,conf_algo,payload_size_bytes,num_processes,process_idx,verify_mean_ns,verify_std_ns,verify_ci95_lo_ns,verify_ci95_hi_ns,sign_mean_ns,sign_std_ns,sign_ci95_lo_ns,sign_ci95_hi_ns,encrypt_mean_ns,encrypt_std_ns,encrypt_ci95_lo_ns,encrypt_ci95_hi_ns,decrypt_mean_ns,decrypt_std_ns,decrypt_ci95_lo_ns,decrypt_ci95_hi_ns,msg_size_bytes,throughput_mean_msg_s,throughput_std_msg_s,throughput_ci95_lo_msg_s,throughput_ci95_hi_msg_s
RSA,None,64,4,-1,294268.43,232017.31,211242.11,377294.76,2635469.03,346278.49,2511554.87,2759383.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1088,351.00,52.41,332.25,369.76
RSA,None,64,5,-1,377488.07,306654.28,267753.24,487222.89,3334297.97,486759.94,3160113.16,3508482.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1344,277.50,42.63,262.25,292.76
RSA,None,64,6,-1,322176.07,76137.56,294930.59,349421.54,3778940.83,313167.94,3666875.13,3891006.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1600,245.55,19.71,238.49,252.60
RSA,None,64,7,-1,431921.90,284861.57,329985.50,533858.30,4335659.47,376815.62,4200817.73,4470501.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1856,212.21,20.18,204.99,219.43
RSA,None,64,8,-1,545354.90,233187.82,461909.71,628800.09,5103356.67,504782.51,4922722.56,5283990.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2112,179.25,18.64,172.58,185.92
RSA,None,128,1,-1,0.00,0.00,0.00,0.00,796615.30,266586.63,701218.50,892012.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,384,1365.96,351.03,1240.35,1491.58
RSA,None,128,2,-1,151351.43,160514.63,93912.01,208790.86,1570882.43,462523.25,1405370.61,1736394.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,640,635.54,170.06,574.68,696.39
RSA,None,128,3,-1,267764.03,230893.59,185139.82,350388.24,2212748.80,500736.32,2033562.61,2391934.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,896,426.68,87.32,395.43,457.93
RSA,None,128,4,-1,335393.97,347348.03,211097.07,459690.86,2719377.43,448248.01,2558973.94,2879780.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1152,341.50,58.70,320.50,362.51
RSA,None,128,5,-1,370963.30,312517.11,259130.49,482796.11,3274810.70,371557.79,3141850.45,3407770.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1408,280.48,36.18,267.54,293.43
