sig_algo,conf_algo,payload_size_bytes,num_processes,process_idx,verify_mean_ns,verify_std_ns,verify_ci95_lo_ns,verify_ci95_hi_ns,sign_mean_ns,sign_std_ns,sign_ci95_lo_ns,sign_ci95_hi_ns,encrypt_mean_ns,encrypt_std_ns,encrypt_ci95_lo_ns,encrypt_ci95_hi_ns,decrypt_mean_ns,decrypt_std_ns,decrypt_ci95_lo_ns,decrypt_ci95_hi_ns,msg_size_bytes,throughput_mean_msg_s,throughput_std_msg_s,throughput_ci95_lo_msg_s,throughput_ci95_hi_msg_s
RSA,None,64,4,-1,168441.90,53660.25,149239.83,187643.97,3794728.20,222823.30,3714991.91,3874464.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1088,253.21,14.93,247.87,258.56
RSA,None,64,5,-1,184510.17,67827.70,160238.33,208782.00,3888243.60,988186.37,3534625.65,4241861.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1344,262.57,69.64,237.65,287.49
RSA,None,64,6,-1,193736.80,70847.54,168384.33,219089.27,3671634.00,373110.75,3538118.03,3805149.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1600,261.27,24.28,252.58,269.96
RSA,None,64,7,-1,252111.70,80142.15,223433.20,280790.20,4439754.97,359166.82,4311228.77,4568281.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1856,214.59,17.20,208.44,220.74
RSA,None,64,8,-1,286756.33,90251.06,254460.41,319052.26,5094908.00,332849.40,4975799.37,5214016.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2112,186.75,12.88,182.14,191.36
RSA,None,128,1,-1,0.00,0.00,0.00,0.00,652644.40,102425.17,615992.02,689296.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,384,1557.27,168.54,1496.96,1617.58
RSA,None,128,2,-1,41216.80,18942.90,34438.17,47995.43,1295458.57,119152.48,1252820.40,1338096.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,640,753.90,63.25,731.26,776.53
RSA,None,128,3,-1,89580.93,40274.59,75168.86,103993.01,1987162.73,189724.24,1919270.79,2055054.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,896,486.10,45.89,469.68,502.53
RSA,None,128,4,-1,101145.23,25098.06,92164.01,110126.46,2544386.17,161371.96,2486639.95,2602132.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1152,379.48,23.06,371.23,387.73
RSA,None,128,5,-1,122648.53,5175.65,120796.45,124500.62,3098124.27,172239.25,3036489.24,3159759.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1408,311.29,15.33,305.81,316.78
RSA,None,128,6,-1,176354.13,56492.02,156138.72,196569.54,3758430.90,226452.22,3677396.01,3839465.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1664,255.17,16.04,249.43,260.91
RSA,None,128,7,-1,237986.23,53938.13,218684.72,257287.75,4458354.53,252360.72,4368048.41,4548660.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1920,213.60,11.95,209.32,217.88
RSA,None,128,8,-1,283226.33,78219.07,255236.00,311216.67,5088464.13,273913.14,4990445.57,5186482.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2176,186.81,10.99,182.88,190.74
RSA,None,256,1,-1,0.00,0.00,0.00,0.00,650949.83,107470.47,612492.02,689407.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,512,1561.13,159.62,1504.01,1618.25
RSA,None,256,2,-1,40858.47,21305.35,33234.44,48482.49,1298022.53,138212.97,1248563.66,1347481.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,768,754.93,71.68,729.27,780.58
RSA,None,256,3,-1,81186.57,28948.36,70827.53,91545.61,1895678.67,172221.09,1834050.14,1957307.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1024,509.57,41.26,494.81,524.34
RSA,None,256,4,-1,119526.90,39732.63,105308.76,133745.04,2527614.13,238348.45,2442322.24,2612906.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1280,381.21,34.65,368.81,393.62
RSA,None,256,5,-1,145010.07,26970.01,135358.97,154661.16,3144420.57,244919.39,3056777.29,3232063.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1536,305.71,22.31,297.73,313.69
